"","author","title"
"272","Aubert C","Response of Desulfovibrio vulgaris Hildenborough to hydrogen peroxide: enzymatic and transcriptional analyses"
"273","Aubert E","The social value of the persons : Are two pieces of information better than one?"
"274","Aubert D","Laboratory-based surveillance for Cryptosporidium in France, 2006-2009"
"275","Aubert J","Conditions for Earth-like geodynamo models"
"276","Aubert C","Cobalt-Mediated Linear 2:1 Co-oligomerization of Alkynes with Enol Ethers to Give 1-Alkoxy-1,3,5-Trienes: A Missing Mode of Reactivity"
"277","Aubert D","Molecular and biological characteristics of Toxoplasma gondii isolates from wildlife in France"
"278","Aubert D","Short and long-term quality of life after reconstruction of bladder exstrophy in infancy: preliminary results of the QUALEX (QUAlity of Life of bladder EXstrophy) study"
"279","Aubert PH","New Prospects in the Conception of IR Electro-Tunable Devices: The Use of Conducting Semi-Interpenetrating Polymer Network Architecture"
"280","Aubert B","Optimization in pediatric CT"
"281","Aubert E","Electrogeneration of highly methylated mesoporous silica thin films with vertically-aligned mesochannels and electrochemical monitoring of mass transport issues"
"282","Aubert M","New evidence for a 67,000-year-old human presence at Callao Cave, Luzon, Philippines"
"283","Aubert J","Stationary, oscillating or drifting mantle-driven geomagnetic flux patches?"
"284","Aubert G","Prospective Determination of Serum Ceftazidime Concentrations in Intensive Care Units"
"285","Aubert B","Measurements of Charged Current Lepton Universality and vertical bar V-us vertical bar Using Tau Lepton Decays to e(-)(nu)over-bar(e)nu(tau), mu(-)(nu)over-bar(mu)nu(tau), pi(-)nu(tau), and K-nu(tau)"
"286","Aubert J","Molecular and morphometric characterization of neuroinflammatory and neurovascular changes in the development of rosacea"
"287","Aubard Y","Why not creating a N4 stage in breast cancer?"
"288","Aubert L","Long-term endometrial and breast safety of a specific, standardized soy extract"
"289","Aubert C","Cyclopentadienylcobalt-Mediated Intermolecular Cycloaddition of alpha,omega-Diynes to (Cyclo)alkenes: Synthesis of Linearly Fused Oligocycles and Extension to Enantiomerically Pure (6aR,10aR)-Dihydroanthracyclinones"
"290","Aubard Y","Chemotherapy and women fertility preservation"
"291","Aubert S","Reading epilepsy from the dominant temporo-occipital region"
"292","Aubert D","Sacral Neuromodulation in Children With Urinary and Fecal Incontinence: A Multicenter, Open Label, Randomized, Crossover Study"
"293","Aubert P","Enteric glia modulate epithelial cell proliferation and differentiation through 15-deoxy-delta 12,14-prostaglandin J2"
"294","Aubert M","RECENT OCCURRENCES OF OPAH, LAMPRIS GUTTATUS (ACTINOPTERYGII, LAMPRIFORMES, LAMPRIDAE), IN THE WESTERN MEDITERRANEAN SEA"
"295","Aubert S","Tracking genes of ecological relevance using a genome scan in two independent regional population samples of Arabis alpina"
"296","Aubert S","Modelling with stakeholders to integrate biodiversity into land-use planning Lessons learned in Reunion Island (Western Indian Ocean)"
"297","Aubert R","Adiponectin Multimers and ADIPOQ T45G in Coronary Artery Disease in Caribbean Type 2 Diabetic Subjects of African Descent"
"298","Aubert C","EXPLORATORY ROUTES TOWARDS THE SYNTHESIS OF C-14 LABELLED CARBOXYPYRROLOPYRIDINES"
"299","Aubard Y","How I ... remove axillary sentinel lymph node under local anesthesia"
"300","Aubert E","Conformational disorder in 4-(5,5 '-dibromo-2 '-chloro-4,4 '-bipyridyl-2-yl)-benzaldehyde: role of pi-pi and halogen interactions"
"301","Aubert S","Deja-vu in temporal lobe epilepsy: Metabolic pattern of cortical involvement in patients with normal brain MRI"
"302","Aubert R","Association of ADIPOQ genetic variants and plasma adiponectin isoforms with the risk of incident renal events in type 2 diabetes"
"303","Aubert G","Design of arbitrarily homogeneous permanent magnet systems for NMR and MRI: Theory and experimental developments of a simple portable magnet"
"304","Aubert G","Design, fabrication and evaluation of a low-cost homogeneous portable permanent magnet for NMR and MRI"
"305","Aubert D","Isolated primary nocturnal enuresis: International evident based management. Consensus recommendations by french expert group"
"306","Aubert A","Acute Pancreatitis in Patients Operated on for Intraductal Papillary Mucinous Neoplasms of the Pancreas Frequency, Severity, and Clinicopathologic Correlations"
"307","Aubart-Cohen F","Brachial plexus birth palsy shoulder deformity treatment using subscapularis release combined to tendons transfer"
"308","Aubert D","Mitigation of Visibility Loss for Advanced Camera-Based Driver Assistance"
"309","Aubert AM","Localisation de faisceaux caracteres"
"310","Aubert E","Kinetic Control in the Chiral Recognition of Three-Bladed Propellers"
"311","Aubert-Frecon M","DFT calculations of H-1 chemical shifts, simulated and experimental NMR spectra for sarcosine"
"312","Aubert S","Is an anterior mitral leaflet prolapse still a challenge?"
"313","Aubert B","Observation of the chi(c2)(2P) meson in the reaction gamma gamma -> D(D)over-bar at BABAR"
"314","Aubert PH","Electroactive Polymers with Semi-IPN Architectures for Electrochromic Devices"
"315","Aubert S","Adrenocortical Tumors (ACT): Evaluation and Harmonization of the Reading of the Weiss System Criteria at the French Level"
"316","Aubert S","Adrenocortical Tumors (ACT): Evaluation and Harmonization of the Reading of the Weiss System Criteria at the French Level"
"317","Aubert T","Surface acoustic wave devices based on AlN/sapphire structure for high temperature applications"
"318","Aubert S","Is Thymectomy Worthwhile in Central Lymph Node Dissection for Differentiated Thyroid Cancer?"
"319","Aubert S","Extra-Corporeal Membrane Oxygenation for Primary Graft Failure after Cardiac Transplantation. Six-Year Single Center Experience"
"320","Aubert E","Effect of Substituents on the Molecular Shapes of pi-Basic Macrotricyclic Receptors"
"321","Aubert C","Gold-Catalyzed Cross-Couplings: New Opportunities for C-C Bond Formation"
"322","Aubert E","Synthesis of Polyhalogenated 4,4 '-Bipyridines via a Simple Dimerization Procedure"
"323","Aubert R","Association of common variants in NPPA and NPPB with blood pressure does not translate into kidney damage in a general population study"
"324","Aubard Y","Live birth after ovarian tissue autograft in a patient with sickle cell disease treated by allogeneic bone marrow transplantation"
"325","Aubert D","Efficiency of frozen transgenic line recovery depends on embryo origin: IVF versus natural mating"
"326","Aubert D","Simple and universal method to determine transgenes copy number in lentiviral based transgenic animals"
"327","Aubert I","Lentiviral Overexpression of GRK6 Alleviates L-Dopa-Induced Dyskinesia in Experimental Parkinson's Disease"
"328","Aubert S","Study of the functionality of the Helicobacter pylori trans-translation components SmpB and SsrA in an heterologous system"
"329","Aubert D","Vesico-ureteric reflux treatment by implant of polydimethylsiloxane (Macroplastique (TM)): Review of the literature"
"330","Aubert D","The non-neurogenic neurogenic bladder (Hinman's syndrome) in children: What are pronostic criteria based on a 31 cases multicentric study"
"331","Aubert G","Semisynthesis of Natural Flavones Inhibiting Tubulin Polymerization, from Hesperidin"
"332","Aubert P","Structural and mechanical properties of titanium oxide thin films for biomedical application"
"333","Aubert B","Optimization in paediatric computed tomography."
"334","Aubert S","Acute motor and sensory axonal neuropathy and concomitant encephalopathy during tumor necrosis factor-alpha antagonist therapy"
"335","Aubert B","Search for B+ -> l(+)nu(l) recoiling against B- -> D(0)l(-)(nu)over-barX"
"336","Aubert B","Measurement of branching fractions of B decays to K-1(1270)pi and K-1(1400)pi and determination of the CKM angle alpha from B-0 -> a(1)(1260)(+/-)pi(-/+)"
"337","Aubert D","The dusty, albeit ultraviolet bright, infancy of galaxies"
"338","Aubert M","Accurate determination of Curium and Californium isotopic ratios by inductively coupled plasma quadrupole mass spectrometry (ICP-QMS) in Cm-248 samples for transmutation studies"
"339","Aubert P","Enteric glial cells protect neurons from oxidative stress in part via reduced glutathione"
"340","Aubert D","Place of the ureteroscopy in the treatment of the children urolithiasis"
"341","Aubert-Frecon M","DFT calculations of isomer effects upon NMR spin-Hamiltonian parameters of prostate polyamines"
"342","Aubert A","Semi-Analytical Solution for Heat Transfer in a Water Film Flowing Over a Heated Plane"
"343","Aubert M","The role of infectious agents and parasites in the health of honey bee colonies in France"
"344","Aubert M","A case control study and a survey on mortalities of honey bee colonies (Apis mellifera) in France during the winter of 2005-6"
"345","Aubert AM","On cuspidal representations of general linear groups over discrete valuation rings"
"346","Aubert-Foucher E","BMP-2 and TGF-beta 1 differentially control expression of type II procollagen and alpha 10 and alpha 11 integrins in mouse chondrocytes"
"347","Aubert J","Cloning of Wap65 in sea bass (Dicentrarchus labrax) and sea bream (Sparus aurata) and expression in sea bass tissues"
"348","Aubert F","Hyperpolarized He-3 MR for Sensitive Imaging of Ventilation Function and Treatment Efficiency in Young Cystic Fibrosis Patients with Normal Lung Function"
"349","Aubert PH","Poly(3,4-ethylenedioxythiophene)-containing semi-interpenetrating polymer networks: a versatile concept for the design of optical or mechanical electroactive devices"
"350","Aubert J","Earth's dynamo limit of predictability"
"351","Aubert JJ","Measurement of the atmospheric muon flux with a 4 GeV threshold in the ANTARES neutrino telescope"
"352","Aubert AS","National investigation in the construction industry/Occupational health services. methodology and results (first part)"
"353","Aubert JE","Quantitative mineralogical composition of complex mineral wastes - Contribution of the Rietveld method"
"354","Aubert B","Measurement and interpretation of moments in inclusive semileptonic decays (B)over-bar -> Xcl(nu)over-bar"
"355","Aubard J","A General Approach Combining Diazonium Salts and Click Chemistries for Gold Surface Functionalization by Nanoparticle Assemblies"
"356","Aubert S","Extra-corporeal membrane oxygenation temporary support for early graft failure after cardiac transplantation"
"357","Aubert G","Dosage adjustment of vancomycin in continuous infusion in critically ill-patients"
"358","Aubert G","Structure-activity relationships and mechanism of action of antitumor bis 8-hydroxyquinoline substituted benzylamines"
"359","Aubert D","An innovative survey underlining the significant level of contamination by Toxoplasma gondii of ovine meat consumed in France"
"360","Aubert H","EQUIVALENT ELECTRICAL CIRCUIT FOR DESIGNING MEMS-CONTROLLED REFLECTARRAY PHASE SHIFTERS"
"361","Aubert S","Effects of copper on the photosynthesis of intact chloroplasts: interaction with manganese"
"362","Aubert B","Observation of inclusive D*(+/-) production in the decay of Y(1S)"
"363","Aubert B","Measurement of vertical bar V-cb vertical bar and the Form-Factor Slope in (B)over-bar -> Dl(-) (nu)over-bar(l) Decays in Events Tagged by a Fully Reconstructed B Meson"
"364","Aubert B","Searches for Lepton Flavor Violation in the Decays tau(+/-) -> e(+/-)gamma and tau(+/-) -> mu(+/-)gamma"
"365","Aubert D","Adjuvant Cisplatin and Vinorelbine for Completely Resected Non-small Cell Lung Cancer Subgroup Analysis of the Lung Adjuvant Cisplatin Evaluation"
"366","Aubert M","Aboveground-belowground relationships in temperate forests: Plant litter composes and microbiota orchestrates"
"367","Aubert A","Unusual Migration of a Foreign Body From Sternal Notch to the Left Pleural Lateral Sulcus"
"368","Aubert R","Sex-dependent Associations of Leptin With Metabolic Syndrome-related Variables: The Stanislas Study"
"369","Aubert G","Region-Based Active Contours with Exponential Family Observations"
"370","Aubert M","New radiometric ages for the Fauresmith industry from Kathu Pan, southern Africa: Implications for the Earlier to Middle Stone Age transition"
"371","Aubert JD","Comparison of Three Antigenic Extracts of Eurotium amstelodami in Serological Diagnosis of Farmer's Lung Disease"
"372","Aubert S","Vascular endocan (ESM-1) is markedly overexpressed in clear cell renal cell carcinoma"
"373","Aubert C","Changes in physicochemical characteristics and volatile compounds of apricot (Prunus armeniaca L. cv. Bergeron) during storage and post-harvest maturation"
"374","Aubert T","Functional silica nanoparticles synthesized by water-in-oil microemulsion processes"
"375","Aubert P","A comparison of plasma and electron beam-sterilization of PU catheters"
"376","Aubert T","Synthesis and characterisation of magnetic-luminescent composite colloidal nanostructures"
"377","Aubert B","Evidence for charged B meson decays to a(1)(+/-)(1260)pi(0) and a(1)(0)(1260)pi(+/-)"
"378","Aubert B","Measurement of CP violation parameters with a Dalitz plot analysis of B(+/-) -> D(pi+)pi(-)pi(0)K(+/-)"
"379","Aubert B","Improved limits on the lepton-flavor violating decays tau(-) -> l(-)l(+)l(-)"
"380","Aubert P","Inducible mouse model of chronic intestinal pseudo-obstruction by smooth muscle-specific inactivation of the SRF gene"
"381","Aubert E","Illustrated fourier transforms for crystallography"
"382","Aubert S","The SUN41 and SUN42 genes are essential for cell separation in Candida albicans"
"383","Aubert B","Improved measurement of time-dependent CP asymmetries and the CP-odd fraction in the decay B(0)-> D*(+)D*(-)"
